Category,Formant,CF,CF_Freq,GW_Distance,NumSamples,PerturbationType
Flap,F2,CF3,1000,0.216,260,jitter
Flap,F2,CF4,2000,0.201,260,jitter
Flap,F2,CF6,8000,0.236,260,jitter
Flap,F3,CF1,250,0.264,260,jitter
Flap,F2,CF5,4000,0.219,260,jitter
Flap,F3,CF2,500,0.207,260,jitter
Flap,F3,CF3,1000,0.252,260,jitter
Flap,F3,CF4,2000,0.22,260,jitter
Flap,F3,CF5,4000,0.256,260,jitter
Flap,F1,CF1,250,0.19,276,scattered_jitter
Flap,F3,CF6,8000,0.266,260,jitter
Flap,F1,CF3,1000,0.203,276,scattered_jitter
Flap,F1,CF2,500,0.214,276,scattered_jitter
Flap,F1,CF4,2000,0.159,276,scattered_jitter
Flap,F1,CF5,4000,0.175,276,scattered_jitter
Flap,F2,CF1,250,0.205,276,scattered_jitter
Flap,F1,CF6,8000,0.171,276,scattered_jitter
Flap,F2,CF2,500,0.224,276,scattered_jitter
Flap,F2,CF3,1000,0.214,276,scattered_jitter
Flap,F2,CF6,8000,0.18,276,scattered_jitter
Flap,F3,CF1,250,0.221,276,scattered_jitter
Flap,F3,CF2,500,0.251,276,scattered_jitter
Flap,F2,CF5,4000,0.189,276,scattered_jitter
Flap,F2,CF4,2000,0.168,276,scattered_jitter
Epenthetic,F1,CF1,250,0.212,119,loss
Epenthetic,F1,CF2,500,0.212,119,loss
Epenthetic,F1,CF3,1000,0.193,119,loss
Flap,F3,CF3,1000,0.233,276,scattered_jitter
Flap,F3,CF4,2000,0.187,276,scattered_jitter
Flap,F3,CF6,8000,0.197,276,scattered_jitter
Epenthetic,F1,CF4,2000,0.177,119,loss
Epenthetic,F1,CF5,4000,0.224,119,loss
Epenthetic,F1,CF6,8000,0.186,119,loss
Flap,F3,CF5,4000,0.2,276,scattered_jitter
Epenthetic,F2,CF1,250,0.179,119,loss
Epenthetic,F2,CF2,500,0.177,119,loss
Epenthetic,F2,CF3,1000,0.161,119,loss
Epenthetic,F2,CF4,2000,0.152,119,loss
Epenthetic,F2,CF5,4000,0.183,119,loss
Epenthetic,F2,CF6,8000,0.159,119,loss
Epenthetic,F3,CF2,500,0.238,119,loss
Epenthetic,F3,CF1,250,0.236,119,loss
Epenthetic,F3,CF3,1000,0.216,119,loss
Epenthetic,F1,CF1,250,0.134,71,truncation
Epenthetic,F3,CF4,2000,0.199,119,loss
Epenthetic,F1,CF2,500,0.069,71,truncation
Epenthetic,F3,CF5,4000,0.242,119,loss
Epenthetic,F1,CF3,1000,0.095,71,truncation
Epenthetic,F3,CF6,8000,0.216,119,loss
Epenthetic,F1,CF4,2000,0.148,71,truncation
Epenthetic,F1,CF5,4000,0.16,71,truncation
Epenthetic,F1,CF6,8000,0.166,71,truncation
Epenthetic,F2,CF1,250,0.135,71,truncation
Epenthetic,F2,CF2,500,0.069,71,truncation
Epenthetic,F2,CF3,1000,0.092,71,truncation
Epenthetic,F2,CF4,2000,0.147,71,truncation
Epenthetic,F2,CF5,4000,0.155,71,truncation
Epenthetic,F2,CF6,8000,0.166,71,truncation
Epenthetic,F3,CF1,250,0.177,71,truncation
Epenthetic,F3,CF2,500,0.1,71,truncation
Epenthetic,F3,CF3,1000,0.129,71,truncation
Epenthetic,F3,CF4,2000,0.197,71,truncation
Epenthetic,F3,CF5,4000,0.199,71,truncation
Epenthetic,F3,CF6,8000,0.213,71,truncation
Epenthetic,F1,CF1,250,0.159,87,jitter
Epenthetic,F1,CF3,1000,0.163,87,jitter
Epenthetic,F1,CF2,500,0.174,87,jitter
Epenthetic,F1,CF4,2000,0.21,87,jitter
Epenthetic,F1,CF5,4000,0.113,87,jitter
Epenthetic,F1,CF6,8000,0.169,87,jitter
Epenthetic,F2,CF1,250,0.085,87,jitter
Epenthetic,F2,CF2,500,0.088,87,jitter
