Formant,Category,PerturbationType,Mean,SEM,Reference,Effect,Percent_Change,T_Statistic,P_Value,Significant
F1,Vowel,loss,0.07383333333333333,0.007458403165408652,0.066125,0.007708333333333331,11.657214870825452,,,
F1,Vowel,truncation,0.05883333333333333,0.006321480136100336,0.066125,-0.0072916666666666755,-11.027095148078148,,,
F1,Vowel,jitter,0.06583333333333333,0.008490844742688707,0.066125,-0.0002916666666666762,-0.4410838059231398,,,
F1,Vowel,scattered_jitter,0.066,0.00762889244910426,0.066125,-0.0001250000000000001,-0.18903591682419676,,,
F1,Fricative,loss,0.10116666666666667,0.007867302234212467,0.09108333333333334,0.010083333333333333,11.070448307410794,,,
F1,Fricative,truncation,0.08216666666666667,0.007760655756943339,0.09108333333333334,-0.00891666666666667,-9.789569990850874,,,
F1,Fricative,jitter,0.08933333333333333,0.006058969476000941,0.09108333333333334,-0.0017500000000000016,-1.9213174748398918,,,
F1,Fricative,scattered_jitter,0.09166666666666667,0.008965365457011655,0.09108333333333334,0.0005833333333333385,0.640439158279969,,,
F1,Stop,loss,0.229,0.007598245411496878,0.231625,-0.0026249999999999885,-1.1332973556394985,,,
F1,Stop,truncation,0.22349999999999995,0.007419568720619816,0.231625,-0.008125000000000049,-3.507825148408008,,,
F1,Stop,jitter,0.2316666666666667,0.007237249324002718,0.231625,4.166666666668983e-05,0.017988846914922755,,,
F1,Stop,scattered_jitter,0.24233333333333337,0.005251454824882129,0.231625,0.010708333333333375,4.623133657132596,,,
F1,Nasal,loss,0.13283333333333333,0.009627795409357454,0.13025,0.0025833333333333264,1.9833653230966037,,,
F1,Nasal,truncation,0.13,0.004966554808583778,0.13025,-0.0002500000000000002,-0.19193857965451072,,,
F1,Nasal,jitter,0.12166666666666666,0.007774602526460399,0.13025,-0.008583333333333346,-6.589891234804872,,,
F1,Nasal,scattered_jitter,0.13649999999999998,0.008265389686316469,0.13025,0.006249999999999978,4.798464491362746,,,
F1,Liquid,loss,0.045000000000000005,0.0038987177379235854,0.048125,-0.003124999999999996,-6.493506493506485,,,
F1,Liquid,truncation,0.04800000000000001,0.005112077203381551,0.048125,-0.00012499999999999317,-0.25974025974024556,,,
F1,Liquid,jitter,0.05333333333333334,0.005070612498615045,0.048125,0.005208333333333336,10.822510822510827,,,
F1,Liquid,scattered_jitter,0.04616666666666667,0.004833333333333334,0.048125,-0.0019583333333333328,-4.069264069264069,,,
F1,Glide,loss,0.05983333333333333,0.008688753906311563,0.047749999999999994,0.012083333333333335,25.30541012216406,,,
F1,Glide,truncation,0.044500000000000005,0.0077233412458598515,0.047749999999999994,-0.003249999999999989,-6.806282722513067,,,
F1,Glide,jitter,0.03783333333333333,0.00450493556496033,0.047749999999999994,-0.009916666666666664,-20.767888307155317,,,
F1,Glide,scattered_jitter,0.04883333333333334,0.007578111755429435,0.047749999999999994,0.0010833333333333459,2.2687609075043897,,,
F1,Affricate,loss,0.18633333333333332,0.012994015716646044,0.14220833333333335,0.04412499999999997,31.028420744213275,,,
F1,Affricate,truncation,0.08233333333333333,0.013093679560934907,0.14220833333333335,-0.059875000000000025,-42.10372106651042,,,
F1,Affricate,jitter,0.13999999999999999,0.011803954139750515,0.14220833333333335,-0.0022083333333333677,-1.5528860240258078,,,
F1,Affricate,scattered_jitter,0.16016666666666665,0.02088127816436958,0.14220833333333335,0.0179583333333333,12.628186346322856,,,
F1,Flap,loss,0.18699999999999997,0.010385887861259945,0.18733333333333332,-0.00033333333333335213,-0.17793594306050828,,,
F1,Flap,truncation,0.14483333333333334,0.009184830488969904,0.18733333333333332,-0.04249999999999998,-22.686832740213514,,,
F1,Flap,jitter,0.23216666666666672,0.009289480310784045,0.18733333333333332,0.04483333333333339,23.932384341637043,,,
F1,Flap,scattered_jitter,0.18533333333333335,0.008487899884214261,0.18733333333333332,-0.001999999999999974,-1.0676156583629755,,,
F1,Glottal Stop,loss,0.05983333333333334,0.006139580152131288,0.05741666666666667,0.002416666666666671,4.208998548621198,,,
F1,Glottal Stop,truncation,0.05199999999999999,0.003723797345005051,0.05741666666666667,-0.005416666666666681,-9.433962264150967,,,
F1,Glottal Stop,jitter,0.049499999999999995,0.0039051248379533285,0.05741666666666667,-0.007916666666666676,-13.788098693759085,,,
F1,Glottal Stop,scattered_jitter,0.06833333333333334,0.0035652645218989167,0.05741666666666667,0.010916666666666672,19.013062409288832,,,
F1,Epenthetic,loss,0.20066666666666666,0.007383164031166526,0.173625,0.02704166666666666,15.574754019678421,,,
F1,Epenthetic,truncation,0.12866666666666668,0.01578114205133597,0.173625,-0.04495833333333332,-25.893928485721133,,,
F1,Epenthetic,jitter,0.16466666666666666,0.012734903917100346,0.173625,-0.008958333333333346,-5.159587233021366,,,
F1,Epenthetic,scattered_jitter,0.2005,0.007579577824654878,0.173625,0.02687500000000001,15.47876169906408,,,
F1,Silence,loss,0.122,0.00629285308902091,0.12554166666666666,-0.003541666666666665,-2.8211085297046123,,,
F1,Silence,truncation,0.14933333333333335,0.017419656840605223,0.12554166666666666,0.023791666666666683,18.951211417192184,,,
F1,Silence,jitter,0.11416666666666668,0.016025847178161214,0.12554166666666666,-0.011374999999999982,-9.06073680716892,,,
F1,Silence,scattered_jitter,0.11666666666666665,0.011283222549923897,0.12554166666666666,-0.008875000000000008,-7.069366080318626,,,
F1,Syllabic Consonant,loss,0.08333333333333333,0.0066866367563305764,0.0765,0.00683333333333333,8.93246187363834,,,
F1,Syllabic Consonant,truncation,0.05933333333333333,0.010515596881669524,0.0765,-0.01716666666666667,-22.440087145969503,,,
F1,Syllabic Consonant,jitter,0.09633333333333333,0.012112436217008993,0.0765,0.019833333333333328,25.92592592592592,,,
F1,Syllabic Consonant,scattered_jitter,0.06699999999999999,0.008988882021697692,0.0765,-0.009500000000000008,-12.418300653594782,,,
