,group1,group2,meandiff,p-adj,lower,upper,reject
0,jitter,loss,0.0085,0.8824,-0.0213,0.0383,False
1,jitter,scattered_jitter,0.0077,0.9092,-0.0221,0.0375,False
2,jitter,truncation,-0.0076,0.9122,-0.0374,0.0222,False
3,loss,scattered_jitter,-0.0008,0.9999,-0.0306,0.029,False
4,loss,truncation,-0.0161,0.5031,-0.0459,0.0137,False
5,scattered_jitter,truncation,-0.0153,0.5466,-0.0451,0.0145,False
