,group1,group2,meandiff,p-adj,lower,upper,reject
0,jitter,loss,0.007,0.9122,-0.0205,0.0346,False
1,jitter,scattered_jitter,0.0028,0.994,-0.0248,0.0303,False
2,jitter,truncation,-0.0161,0.4336,-0.0436,0.0115,False
3,loss,scattered_jitter,-0.0043,0.9781,-0.0318,0.0233,False
4,loss,truncation,-0.0231,0.1348,-0.0507,0.0044,False
5,scattered_jitter,truncation,-0.0188,0.2916,-0.0464,0.0087,False
