,sum_sq,df,F,PR(>F)
C(CF_Freq),0.04265055902777765,5.0,15.613745439288204,2.1691477200089184e-13
C(PerturbationType),0.008296621527777782,3.0,5.062119524094725,0.002017493326960282
C(Category),0.8204067881944438,11.0,136.51768996839226,1.2134875166401997e-99
C(CF_Freq):C(PerturbationType),0.001710565972222297,15.0,0.2087377223668022,0.9994112825120017
Residual,0.13821912847222217,253.0,,
