Category,Formant,CF,CF_Freq,GW_Distance,NumSamples,PerturbationType
Nasal,F2,CF6,8000,0.161,1000,truncation
Nasal,F3,CF5,4000,0.192,1000,loss
Nasal,F1,CF4,2000,0.119,1000,truncation
Nasal,F1,CF6,8000,0.147,1000,truncation
Nasal,F2,CF2,500,0.137,1000,truncation
Nasal,F1,CF3,1000,0.117,1000,truncation
Nasal,F2,CF5,4000,0.145,1000,truncation
Nasal,F3,CF1,250,0.233,1000,truncation
Nasal,F1,CF1,250,0.141,1000,truncation
Nasal,F3,CF6,8000,0.253,1000,loss
Nasal,F2,CF4,2000,0.133,1000,truncation
Nasal,F3,CF3,1000,0.206,1000,truncation
Nasal,F3,CF5,4000,0.224,1000,truncation
Nasal,F3,CF6,8000,0.24,1000,truncation
Nasal,F3,CF4,2000,0.209,1000,truncation
Nasal,F2,CF1,250,0.153,1000,jitter
Nasal,F2,CF2,500,0.118,1000,jitter
Nasal,F1,CF3,1000,0.11,1000,jitter
Nasal,F3,CF3,1000,0.151,1000,jitter
Nasal,F2,CF4,2000,0.112,1000,jitter
Nasal,F1,CF1,250,0.149,1000,jitter
Nasal,F2,CF3,1000,0.113,1000,jitter
Nasal,F1,CF6,8000,0.143,1000,jitter
Nasal,F2,CF5,4000,0.121,1000,jitter
Nasal,F3,CF6,8000,0.186,1000,jitter
Nasal,F3,CF1,250,0.193,1000,jitter
Nasal,F1,CF4,2000,0.106,1000,jitter
Nasal,F1,CF1,250,0.172,1000,scattered_jitter
Nasal,F3,CF4,2000,0.149,1000,jitter
Nasal,F3,CF5,4000,0.151,1000,jitter
Nasal,F1,CF2,500,0.13,1000,scattered_jitter
Nasal,F1,CF2,500,0.112,1000,jitter
Nasal,F2,CF6,8000,0.149,1000,jitter
Nasal,F1,CF5,4000,0.11,1000,jitter
Nasal,F3,CF2,500,0.153,1000,jitter
Nasal,F2,CF2,500,0.147,1000,scattered_jitter
Nasal,F2,CF3,1000,0.134,1000,scattered_jitter
Nasal,F2,CF1,250,0.182,1000,scattered_jitter
Nasal,F1,CF3,1000,0.121,1000,scattered_jitter
Nasal,F3,CF4,2000,0.217,1000,scattered_jitter
Nasal,F1,CF6,8000,0.149,1000,scattered_jitter
Nasal,F2,CF6,8000,0.169,1000,scattered_jitter
Nasal,F1,CF4,2000,0.126,1000,scattered_jitter
Nasal,F2,CF4,2000,0.139,1000,scattered_jitter
Nasal,F2,CF5,4000,0.134,1000,scattered_jitter
Nasal,F3,CF6,8000,0.248,1000,scattered_jitter
Nasal,F3,CF2,500,0.229,1000,scattered_jitter
Nasal,F3,CF1,250,0.265,1000,scattered_jitter
Nasal,F1,CF5,4000,0.121,1000,scattered_jitter
Nasal,F3,CF3,1000,0.213,1000,scattered_jitter
Nasal,F3,CF5,4000,0.21,1000,scattered_jitter
Glide,F1,CF3,1000,0.044,545,loss
Glide,F1,CF5,4000,0.068,545,loss
Glide,F2,CF5,4000,0.032,545,loss
Glide,F1,CF2,500,0.035,545,loss
Glide,F1,CF4,2000,0.05,545,loss
Glide,F2,CF1,250,0.028,545,loss
Glide,F1,CF1,250,0.068,545,loss
Glide,F2,CF3,1000,0.017,545,loss
Glide,F2,CF2,500,0.02,545,loss
Glide,F2,CF4,2000,0.022,545,loss
Glide,F1,CF6,8000,0.094,545,loss
Glide,F2,CF6,8000,0.034,545,loss
Glide,F3,CF2,500,0.052,545,loss
Glide,F3,CF5,4000,0.067,545,loss
Glide,F3,CF4,2000,0.066,545,loss
Glide,F3,CF3,1000,0.066,545,loss
Glide,F1,CF1,250,0.073,518,truncation
Glide,F3,CF1,250,0.089,545,loss
Glide,F1,CF4,2000,0.03,518,truncation
Glide,F1,CF3,1000,0.028,518,truncation
Glide,F1,CF5,4000,0.033,518,truncation
Glide,F3,CF6,8000,0.116,545,loss
Glide,F1,CF2,500,0.04,518,truncation
Glide,F3,CF1,250,0.128,518,truncation
Glide,F2,CF5,4000,0.024,518,truncation
Glide,F2,CF1,250,0.059,518,truncation
Glide,F2,CF3,1000,0.034,518,truncation
Glide,F2,CF2,500,0.026,518,truncation
Glide,F2,CF6,8000,0.044,518,truncation
Glide,F2,CF4,2000,0.033,518,truncation
Glide,F1,CF6,8000,0.063,518,truncation
Glide,F3,CF2,500,0.083,518,truncation
Glide,F3,CF3,1000,0.065,518,truncation
Glide,F3,CF4,2000,0.07,518,truncation
Glide,F1,CF2,500,0.031,485,jitter
Glide,F1,CF3,1000,0.035,485,jitter
Glide,F1,CF1,250,0.053,485,jitter
Glide,F3,CF6,8000,0.107,518,truncation
Glide,F2,CF4,2000,0.025,485,jitter
Glide,F3,CF5,4000,0.075,518,truncation
Glide,F1,CF5,4000,0.024,485,jitter
Glide,F1,CF4,2000,0.035,485,jitter
Glide,F2,CF1,250,0.035,485,jitter
Glide,F2,CF3,1000,0.043,485,jitter
Glide,F3,CF1,250,0.1,485,jitter
Glide,F1,CF6,8000,0.049,485,jitter
Glide,F2,CF5,4000,0.015,485,jitter
Glide,F2,CF2,500,0.044,485,jitter
Glide,F2,CF6,8000,0.02,485,jitter
Glide,F3,CF2,500,0.072,485,jitter
Glide,F3,CF3,1000,0.072,485,jitter
Glide,F3,CF4,2000,0.07,485,jitter
Glide,F3,CF5,4000,0.057,485,jitter
Glide,F3,CF6,8000,0.087,485,jitter
Glide,F1,CF1,250,0.076,562,scattered_jitter
Glide,F1,CF3,1000,0.035,562,scattered_jitter
Glide,F1,CF6,8000,0.068,562,scattered_jitter
Glide,F2,CF1,250,0.046,562,scattered_jitter
Glide,F1,CF2,500,0.042,562,scattered_jitter
Glide,F1,CF5,4000,0.041,562,scattered_jitter
Glide,F1,CF4,2000,0.031,562,scattered_jitter
Glide,F2,CF2,500,0.033,562,scattered_jitter
Glide,F2,CF5,4000,0.034,562,scattered_jitter
Glide,F2,CF6,8000,0.033,562,scattered_jitter
Glide,F2,CF3,1000,0.036,562,scattered_jitter
Glide,F2,CF4,2000,0.032,562,scattered_jitter
Glide,F3,CF4,2000,0.075,562,scattered_jitter
Glide,F3,CF2,500,0.081,562,scattered_jitter
Glide,F3,CF3,1000,0.07,562,scattered_jitter
Glide,F3,CF1,250,0.116,562,scattered_jitter
Glide,F3,CF5,4000,0.087,562,scattered_jitter
Glide,F3,CF6,8000,0.122,562,scattered_jitter
Affricate,F1,CF1,250,0.207,95,loss
Affricate,F1,CF2,500,0.168,95,loss
Affricate,F1,CF3,1000,0.208,95,loss
Affricate,F1,CF4,2000,0.174,95,loss
Affricate,F1,CF5,4000,0.138,95,loss
Affricate,F1,CF6,8000,0.223,95,loss
Affricate,F2,CF1,250,0.203,95,loss
Affricate,F2,CF2,500,0.166,95,loss
Affricate,F2,CF3,1000,0.207,95,loss
Affricate,F2,CF4,2000,0.169,95,loss
Affricate,F2,CF5,4000,0.135,95,loss
Affricate,F2,CF6,8000,0.218,95,loss
Affricate,F3,CF1,250,0.169,95,loss
Affricate,F3,CF2,500,0.139,95,loss
Affricate,F3,CF3,1000,0.171,95,loss
Affricate,F3,CF4,2000,0.143,95,loss
Affricate,F3,CF5,4000,0.112,95,loss
Affricate,F3,CF6,8000,0.186,95,loss
Affricate,F1,CF1,250,0.115,73,truncation
Affricate,F1,CF2,500,0.048,73,truncation
Affricate,F1,CF3,1000,0.062,73,truncation
Affricate,F1,CF4,2000,0.129,73,truncation
Affricate,F1,CF5,4000,0.069,73,truncation
Affricate,F1,CF6,8000,0.071,73,truncation
Affricate,F2,CF1,250,0.139,73,truncation
Affricate,F2,CF2,500,0.079,73,truncation
Affricate,F2,CF3,1000,0.085,73,truncation
Affricate,F2,CF4,2000,0.166,73,truncation
Affricate,F2,CF5,4000,0.108,73,truncation
Affricate,F2,CF6,8000,0.101,73,truncation
Affricate,F3,CF1,250,0.142,73,truncation
Affricate,F3,CF2,500,0.077,73,truncation
Affricate,F3,CF3,1000,0.085,73,truncation
Affricate,F3,CF4,2000,0.165,73,truncation
Affricate,F3,CF5,4000,0.107,73,truncation
Affricate,F3,CF6,8000,0.099,73,truncation
Affricate,F1,CF1,250,0.161,80,jitter
Affricate,F1,CF2,500,0.149,80,jitter
Affricate,F1,CF3,1000,0.115,80,jitter
Affricate,F1,CF4,2000,0.132,80,jitter
Affricate,F1,CF5,4000,0.103,80,jitter
Affricate,F1,CF6,8000,0.18,80,jitter
Affricate,F2,CF1,250,0.153,80,jitter
Affricate,F2,CF2,500,0.143,80,jitter
Affricate,F2,CF3,1000,0.108,80,jitter
Affricate,F2,CF4,2000,0.122,80,jitter
Affricate,F2,CF5,4000,0.104,80,jitter
Affricate,F2,CF6,8000,0.168,80,jitter
Affricate,F3,CF1,250,0.153,80,jitter
Affricate,F3,CF2,500,0.135,80,jitter
Affricate,F3,CF3,1000,0.108,80,jitter
Affricate,F3,CF4,2000,0.124,80,jitter
Affricate,F3,CF5,4000,0.102,80,jitter
Affricate,F3,CF6,8000,0.158,80,jitter
Affricate,F1,CF1,250,0.193,90,scattered_jitter
Affricate,F1,CF2,500,0.124,90,scattered_jitter
Affricate,F1,CF3,1000,0.124,90,scattered_jitter
Affricate,F1,CF4,2000,0.13,90,scattered_jitter
Affricate,F1,CF5,4000,0.14,90,scattered_jitter
Affricate,F1,CF6,8000,0.25,90,scattered_jitter
Affricate,F2,CF1,250,0.224,90,scattered_jitter
Affricate,F2,CF2,500,0.136,90,scattered_jitter
Affricate,F2,CF3,1000,0.158,90,scattered_jitter
Affricate,F2,CF4,2000,0.164,90,scattered_jitter
Affricate,F2,CF5,4000,0.165,90,scattered_jitter
Affricate,F2,CF6,8000,0.253,90,scattered_jitter
Affricate,F3,CF1,250,0.196,90,scattered_jitter
Affricate,F3,CF2,500,0.119,90,scattered_jitter
Affricate,F3,CF3,1000,0.137,90,scattered_jitter
Affricate,F3,CF4,2000,0.147,90,scattered_jitter
Affricate,F3,CF5,4000,0.153,90,scattered_jitter
Affricate,F3,CF6,8000,0.246,90,scattered_jitter
