Category,Formant,CF,CF_Freq,NoiseType,NeurogramType,GW_Distance,NumSamples,Group,Condition,NoiseLevel,NoiseLevel_Clean
Affricate,F3,CF6,8000,random,Noisy,0.023,100,Healthy,Healthy random,random,Baseline (Healthy)
Fricative,F1,CF1,250,random,Noisy,0.014,450,Healthy,Healthy random,random,Baseline (Healthy)
Fricative,F1,CF2,500,random,Noisy,0.033,450,Healthy,Healthy random,random,Baseline (Healthy)
Fricative,F1,CF3,1000,random,Noisy,0.01,450,Healthy,Healthy random,random,Baseline (Healthy)
Fricative,F1,CF4,2000,random,Noisy,0.008,450,Healthy,Healthy random,random,Baseline (Healthy)
Fricative,F1,CF5,4000,random,Noisy,0.01,450,Healthy,Healthy random,random,Baseline (Healthy)
Fricative,F1,CF6,8000,random,Noisy,0.013,450,Healthy,Healthy random,random,Baseline (Healthy)
Fricative,F2,CF1,250,random,Noisy,0.011,450,Healthy,Healthy random,random,Baseline (Healthy)
Fricative,F2,CF2,500,random,Noisy,0.033,450,Healthy,Healthy random,random,Baseline (Healthy)
Fricative,F2,CF3,1000,random,Noisy,0.006,450,Healthy,Healthy random,random,Baseline (Healthy)
Fricative,F2,CF4,2000,random,Noisy,0.002,450,Healthy,Healthy random,random,Baseline (Healthy)
Fricative,F2,CF5,4000,random,Noisy,0.003,450,Healthy,Healthy random,random,Baseline (Healthy)
Fricative,F2,CF6,8000,random,Noisy,0.004,450,Healthy,Healthy random,random,Baseline (Healthy)
Fricative,F3,CF1,250,random,Noisy,0.03,450,Healthy,Healthy random,random,Baseline (Healthy)
Fricative,F3,CF2,500,random,Noisy,0.06,450,Healthy,Healthy random,random,Baseline (Healthy)
Fricative,F3,CF3,1000,random,Noisy,0.021,450,Healthy,Healthy random,random,Baseline (Healthy)
Fricative,F3,CF4,2000,random,Noisy,0.012,450,Healthy,Healthy random,random,Baseline (Healthy)
Fricative,F3,CF5,4000,random,Noisy,0.003,450,Healthy,Healthy random,random,Baseline (Healthy)
Fricative,F3,CF6,8000,random,Noisy,0.003,450,Healthy,Healthy random,random,Baseline (Healthy)
Flap,F1,CF1,250,random,Noisy,0.033,50,Healthy,Healthy random,random,Baseline (Healthy)
Flap,F1,CF2,500,random,Noisy,0.065,50,Healthy,Healthy random,random,Baseline (Healthy)
Flap,F1,CF3,1000,random,Noisy,0.082,50,Healthy,Healthy random,random,Baseline (Healthy)
Flap,F1,CF4,2000,random,Noisy,0.048,50,Healthy,Healthy random,random,Baseline (Healthy)
Flap,F1,CF5,4000,random,Noisy,0.021,50,Healthy,Healthy random,random,Baseline (Healthy)
Flap,F1,CF6,8000,random,Noisy,0.017,50,Healthy,Healthy random,random,Baseline (Healthy)
Flap,F2,CF1,250,random,Noisy,0.028,50,Healthy,Healthy random,random,Baseline (Healthy)
Flap,F2,CF2,500,random,Noisy,0.053,50,Healthy,Healthy random,random,Baseline (Healthy)
Flap,F2,CF3,1000,random,Noisy,0.053,50,Healthy,Healthy random,random,Baseline (Healthy)
Flap,F2,CF4,2000,random,Noisy,0.016,50,Healthy,Healthy random,random,Baseline (Healthy)
Flap,F2,CF5,4000,random,Noisy,0.012,50,Healthy,Healthy random,random,Baseline (Healthy)
Flap,F2,CF6,8000,random,Noisy,0.007,50,Healthy,Healthy random,random,Baseline (Healthy)
Flap,F3,CF1,250,random,Noisy,0.044,50,Healthy,Healthy random,random,Baseline (Healthy)
Flap,F3,CF2,500,random,Noisy,0.064,50,Healthy,Healthy random,random,Baseline (Healthy)
Flap,F3,CF3,1000,random,Noisy,0.09,50,Healthy,Healthy random,random,Baseline (Healthy)
Flap,F3,CF4,2000,random,Noisy,0.04,50,Healthy,Healthy random,random,Baseline (Healthy)
Flap,F3,CF5,4000,random,Noisy,0.012,50,Healthy,Healthy random,random,Baseline (Healthy)
Flap,F3,CF6,8000,random,Noisy,0.009,50,Healthy,Healthy random,random,Baseline (Healthy)
Syllabic Consonant,F1,CF1,250,random,Noisy,0.023,50,Healthy,Healthy random,random,Baseline (Healthy)
Syllabic Consonant,F1,CF2,500,random,Noisy,0.026,50,Healthy,Healthy random,random,Baseline (Healthy)
Syllabic Consonant,F1,CF3,1000,random,Noisy,0.009,50,Healthy,Healthy random,random,Baseline (Healthy)
Syllabic Consonant,F1,CF4,2000,random,Noisy,0.009,50,Healthy,Healthy random,random,Baseline (Healthy)
Syllabic Consonant,F1,CF5,4000,random,Noisy,0.019,50,Healthy,Healthy random,random,Baseline (Healthy)
Syllabic Consonant,F1,CF6,8000,random,Noisy,0.027,50,Healthy,Healthy random,random,Baseline (Healthy)
Syllabic Consonant,F2,CF1,250,random,Noisy,0.029,50,Healthy,Healthy random,random,Baseline (Healthy)
Syllabic Consonant,F2,CF2,500,random,Noisy,0.022,50,Healthy,Healthy random,random,Baseline (Healthy)
Syllabic Consonant,F2,CF3,1000,random,Noisy,0.011,50,Healthy,Healthy random,random,Baseline (Healthy)
Syllabic Consonant,F2,CF4,2000,random,Noisy,0.028,50,Healthy,Healthy random,random,Baseline (Healthy)
Syllabic Consonant,F2,CF5,4000,random,Noisy,0.031,50,Healthy,Healthy random,random,Baseline (Healthy)
Syllabic Consonant,F2,CF6,8000,random,Noisy,0.019,50,Healthy,Healthy random,random,Baseline (Healthy)
Syllabic Consonant,F3,CF1,250,random,Noisy,0.04,50,Healthy,Healthy random,random,Baseline (Healthy)
Syllabic Consonant,F3,CF2,500,random,Noisy,0.033,50,Healthy,Healthy random,random,Baseline (Healthy)
Syllabic Consonant,F3,CF3,1000,random,Noisy,0.014,50,Healthy,Healthy random,random,Baseline (Healthy)
Syllabic Consonant,F3,CF4,2000,random,Noisy,0.026,50,Healthy,Healthy random,random,Baseline (Healthy)
Syllabic Consonant,F3,CF5,4000,random,Noisy,0.038,50,Healthy,Healthy random,random,Baseline (Healthy)
Syllabic Consonant,F3,CF6,8000,random,Noisy,0.033,50,Healthy,Healthy random,random,Baseline (Healthy)
Nasal,F1,CF1,250,random,Noisy,0.04,256,Healthy,Healthy random,random,Baseline (Healthy)
Nasal,F1,CF2,500,random,Noisy,0.04,256,Healthy,Healthy random,random,Baseline (Healthy)
Nasal,F1,CF3,1000,random,Noisy,0.011,256,Healthy,Healthy random,random,Baseline (Healthy)
Nasal,F1,CF4,2000,random,Noisy,0.003,256,Healthy,Healthy random,random,Baseline (Healthy)
Nasal,F1,CF5,4000,random,Noisy,0.006,256,Healthy,Healthy random,random,Baseline (Healthy)
Nasal,F1,CF6,8000,random,Noisy,0.005,256,Healthy,Healthy random,random,Baseline (Healthy)
Nasal,F2,CF1,250,random,Noisy,0.039,256,Healthy,Healthy random,random,Baseline (Healthy)
Nasal,F2,CF2,500,random,Noisy,0.044,256,Healthy,Healthy random,random,Baseline (Healthy)
Nasal,F2,CF3,1000,random,Noisy,0.012,256,Healthy,Healthy random,random,Baseline (Healthy)
Nasal,F2,CF4,2000,random,Noisy,0.002,256,Healthy,Healthy random,random,Baseline (Healthy)
Nasal,F2,CF5,4000,random,Noisy,0.002,256,Healthy,Healthy random,random,Baseline (Healthy)
Nasal,F2,CF6,8000,random,Noisy,0.003,256,Healthy,Healthy random,random,Baseline (Healthy)
Nasal,F3,CF1,250,random,Noisy,0.089,256,Healthy,Healthy random,random,Baseline (Healthy)
Nasal,F3,CF2,500,random,Noisy,0.093,256,Healthy,Healthy random,random,Baseline (Healthy)
Nasal,F3,CF3,1000,random,Noisy,0.044,256,Healthy,Healthy random,random,Baseline (Healthy)
Nasal,F3,CF4,2000,random,Noisy,0.016,256,Healthy,Healthy random,random,Baseline (Healthy)
Nasal,F3,CF5,4000,random,Noisy,0.024,256,Healthy,Healthy random,random,Baseline (Healthy)
Nasal,F3,CF6,8000,random,Noisy,0.012,256,Healthy,Healthy random,random,Baseline (Healthy)
Epenthetic,F1,CF1,250,random,Noisy,0.069,50,Healthy,Healthy random,random,Baseline (Healthy)
Epenthetic,F1,CF2,500,random,Noisy,0.106,50,Healthy,Healthy random,random,Baseline (Healthy)
Epenthetic,F1,CF3,1000,random,Noisy,0.08,50,Healthy,Healthy random,random,Baseline (Healthy)
Epenthetic,F1,CF4,2000,random,Noisy,0.065,50,Healthy,Healthy random,random,Baseline (Healthy)
Epenthetic,F1,CF5,4000,random,Noisy,0.029,50,Healthy,Healthy random,random,Baseline (Healthy)
Epenthetic,F1,CF6,8000,random,Noisy,0.034,50,Healthy,Healthy random,random,Baseline (Healthy)
Epenthetic,F2,CF1,250,random,Noisy,0.021,50,Healthy,Healthy random,random,Baseline (Healthy)
Epenthetic,F2,CF2,500,random,Noisy,0.034,50,Healthy,Healthy random,random,Baseline (Healthy)
Epenthetic,F2,CF3,1000,random,Noisy,0.022,50,Healthy,Healthy random,random,Baseline (Healthy)
Epenthetic,F2,CF4,2000,random,Noisy,0.015,50,Healthy,Healthy random,random,Baseline (Healthy)
Epenthetic,F2,CF5,4000,random,Noisy,0.017,50,Healthy,Healthy random,random,Baseline (Healthy)
Epenthetic,F2,CF6,8000,random,Noisy,0.017,50,Healthy,Healthy random,random,Baseline (Healthy)
Epenthetic,F3,CF1,250,random,Noisy,0.076,50,Healthy,Healthy random,random,Baseline (Healthy)
Epenthetic,F3,CF2,500,random,Noisy,0.12,50,Healthy,Healthy random,random,Baseline (Healthy)
Epenthetic,F3,CF3,1000,random,Noisy,0.096,50,Healthy,Healthy random,random,Baseline (Healthy)
Epenthetic,F3,CF4,2000,random,Noisy,0.067,50,Healthy,Healthy random,random,Baseline (Healthy)
Epenthetic,F3,CF5,4000,random,Noisy,0.044,50,Healthy,Healthy random,random,Baseline (Healthy)
Epenthetic,F3,CF6,8000,random,Noisy,0.039,50,Healthy,Healthy random,random,Baseline (Healthy)
Silence,F1,CF1,250,random,Noisy,0.078,50,Healthy,Healthy random,random,Baseline (Healthy)
Silence,F1,CF2,500,random,Noisy,0.083,50,Healthy,Healthy random,random,Baseline (Healthy)
Silence,F1,CF3,1000,random,Noisy,0.055,50,Healthy,Healthy random,random,Baseline (Healthy)
Silence,F1,CF4,2000,random,Noisy,0.058,50,Healthy,Healthy random,random,Baseline (Healthy)
Silence,F1,CF5,4000,random,Noisy,0.036,50,Healthy,Healthy random,random,Baseline (Healthy)
