Category,Formant,CF,CF_Freq,NoiseType,NeurogramType,GW_Distance,NumSamples
Epenthetic,F3,CF5,4000,random,Noisy,0.044,50
Epenthetic,F3,CF6,8000,random,Noisy,0.039,50
Silence,F1,CF1,250,random,Noisy,0.078,50
Silence,F1,CF2,500,random,Noisy,0.083,50
Silence,F1,CF3,1000,random,Noisy,0.055,50
Silence,F1,CF4,2000,random,Noisy,0.058,50
Silence,F1,CF5,4000,random,Noisy,0.036,50
Silence,F1,CF6,8000,random,Noisy,0.033,50
Silence,F2,CF1,250,random,Noisy,0.022,50
Silence,F2,CF2,500,random,Noisy,0.024,50
Silence,F2,CF3,1000,random,Noisy,0.015,50
Silence,F2,CF4,2000,random,Noisy,0.025,50
Silence,F2,CF5,4000,random,Noisy,0.006,50
Silence,F2,CF6,8000,random,Noisy,0.004,50
Silence,F3,CF1,250,random,Noisy,0.045,50
Silence,F3,CF2,500,random,Noisy,0.056,50
Silence,F3,CF3,1000,random,Noisy,0.032,50
Silence,F3,CF4,2000,random,Noisy,0.032,50
Silence,F3,CF5,4000,random,Noisy,0.017,50
Silence,F3,CF6,8000,random,Noisy,0.015,50
Liquid,F1,CF1,250,random,Noisy,0.022,100
Liquid,F1,CF2,500,random,Noisy,0.025,100
Liquid,F1,CF3,1000,random,Noisy,0.015,100
Liquid,F1,CF4,2000,random,Noisy,0.03,100
Liquid,F1,CF5,4000,random,Noisy,0.058,100
Liquid,F1,CF6,8000,random,Noisy,0.079,100
Liquid,F2,CF1,250,random,Noisy,0.023,100
Liquid,F2,CF2,500,random,Noisy,0.019,100
Liquid,F2,CF3,1000,random,Noisy,0.015,100
Liquid,F2,CF4,2000,random,Noisy,0.029,100
Liquid,F2,CF5,4000,random,Noisy,0.069,100
Liquid,F2,CF6,8000,random,Noisy,0.093,100
Liquid,F3,CF1,250,random,Noisy,0.005,100
Liquid,F3,CF2,500,random,Noisy,0.014,100
Liquid,F3,CF3,1000,random,Noisy,0.005,100
Liquid,F3,CF4,2000,random,Noisy,0.014,100
Liquid,F3,CF5,4000,random,Noisy,0.035,100
Liquid,F3,CF6,8000,random,Noisy,0.055,100
Glottal Stop,F1,CF1,250,random,Noisy,0.015,50
Glottal Stop,F1,CF2,500,random,Noisy,0.01,50
Glottal Stop,F1,CF3,1000,random,Noisy,0.011,50
Glottal Stop,F1,CF4,2000,random,Noisy,0.021,50
Glottal Stop,F1,CF5,4000,random,Noisy,0.024,50
Glottal Stop,F1,CF6,8000,random,Noisy,0.013,50
Glottal Stop,F2,CF1,250,random,Noisy,0.02,50
Glottal Stop,F2,CF2,500,random,Noisy,0.018,50
Glottal Stop,F2,CF3,1000,random,Noisy,0.005,50
Glottal Stop,F2,CF4,2000,random,Noisy,0.03,50
Glottal Stop,F2,CF5,4000,random,Noisy,0.017,50
Glottal Stop,F2,CF6,8000,random,Noisy,0.015,50
Glottal Stop,F3,CF1,250,random,Noisy,0.005,50
Glottal Stop,F3,CF2,500,random,Noisy,0.038,50
Glottal Stop,F3,CF3,1000,random,Noisy,0.017,50
Glottal Stop,F3,CF4,2000,random,Noisy,0.008,50
Glottal Stop,F3,CF5,4000,random,Noisy,0.005,50
Glottal Stop,F3,CF6,8000,random,Noisy,0.011,50
Glide,F1,CF1,250,random,Noisy,0.02,100
Glide,F1,CF2,500,random,Noisy,0.016,100
