,Formant,Category,Diff,Diff_SEM,Healthy_Mean,ANSD_Mean
0,F1,Vowel,0.030214285714285707,0.0026684523016101856,0.011333333333333336,0.04154761904761904
1,F1,Fricative,0.06907142857142858,0.0037300675024470055,0.016476190476190474,0.08554761904761905
2,F1,Stop,0.17935714285714288,0.0058453619848207634,0.036738095238095236,0.21609523809523812
3,F1,Nasal,0.10235714285714284,0.0038959224755095653,0.016690476190476193,0.11904761904761903
4,F1,Liquid,0.007071428571428569,0.0035018483351040037,0.03192857142857143,0.039
5,F1,Glide,0.01697619047619047,0.003599550528387617,0.02871428571428572,0.04569047619047619
6,F1,Affricate,0.08147619047619048,0.005361896200660323,0.036547619047619044,0.11802380952380952
7,F1,Flap,0.13357142857142856,0.006520307307863016,0.04004761904761904,0.1736190476190476
8,F1,Glottal Stop,0.025547619047619034,0.0028038905906891333,0.015547619047619051,0.04109523809523809
9,F1,Epenthetic,0.09788095238095239,0.010181018139549414,0.0639047619047619,0.16178571428571428
10,F1,Silence,0.04607142857142858,0.008082627500960652,0.06288095238095238,0.10895238095238097
11,F1,Syllabic Consonant,0.05569047619047619,0.0039659956795227115,0.018523809523809526,0.07421428571428572
12,F2,Vowel,0.03945238095238096,0.00258566252303688,0.008619047619047618,0.04807142857142858
13,F2,Fricative,0.08242857142857143,0.0037456240714668567,0.012285714285714285,0.09471428571428572
14,F2,Stop,0.1800238095238095,0.005749491095949013,0.03378571428571429,0.21380952380952378
15,F2,Nasal,0.10673809523809524,0.004247573540273822,0.017,0.12373809523809524
16,F2,Liquid,0.013333333333333336,0.0043382315872454134,0.031952380952380954,0.04528571428571429
17,F2,Glide,-0.02495238095238095,0.004473409569350457,0.052142857142857144,0.027190476190476192
18,F2,Affricate,0.09490476190476191,0.005831736727150656,0.04107142857142857,0.13597619047619047
19,F2,Flap,0.12814285714285714,0.005830394623490498,0.02402380952380952,0.15216666666666667
20,F2,Glottal Stop,0.02314285714285714,0.0028930190469120907,0.01904761904761905,0.04219047619047619
21,F2,Epenthetic,0.0685952380952381,0.005610015822517592,0.02597619047619047,0.09457142857142857
22,F2,Silence,0.03716666666666667,0.00533124466526162,0.021285714285714286,0.05845238095238096
23,F2,Syllabic Consonant,0.0726904761904762,0.005019101007546403,0.02778571428571428,0.10047619047619047
24,F3,Vowel,0.061619047619047615,0.0028193297250314452,0.00661904761904762,0.06823809523809524
25,F3,Fricative,0.1032142857142857,0.005176409296726266,0.02507142857142857,0.12828571428571428
26,F3,Stop,0.2126904761904762,0.007377363220108619,0.057214285714285704,0.2699047619047619
27,F3,Nasal,0.14680952380952378,0.00628110863189815,0.04692857142857143,0.1937380952380952
28,F3,Liquid,0.04488095238095238,0.003501461371337746,0.01797619047619048,0.06285714285714286
29,F3,Glide,0.04376190476190475,0.004410886597909083,0.02426190476190476,0.06802380952380951
30,F3,Affricate,0.08738095238095236,0.0056256506607684584,0.04235714285714285,0.1297380952380952
31,F3,Flap,0.15011904761904762,0.007383496807694217,0.037904761904761906,0.18802380952380954
32,F3,Glottal Stop,0.054761904761904776,0.003499907162563414,0.015547619047619048,0.07030952380952382
33,F3,Epenthetic,0.11373809523809524,0.010974081541623784,0.07807142857142858,0.19180952380952382
34,F3,Silence,0.04561904761904763,0.006621205123021325,0.0384047619047619,0.08402380952380953
35,F3,Syllabic Consonant,0.09023809523809523,0.005538328469947091,0.032285714285714286,0.12252380952380951
