,sum_sq,df,F,PR(>F)
C(CF_Num),0.09047354067460317,5.0,14.970640349352076,3.501950939371964e-14
C(Group),2.3338700486111117,1.0,1930.9252660700652,8.189191780470328e-234
C(NoiseLevel),0.01651156547619056,6.0,2.2768047846337125,0.03451449337252836
C(Category),1.5865373204365028,11.0,119.32911016645448,3.222828526086627e-172
C(CF_Num):C(Group),0.12861380257936447,5.0,21.281702562114088,3.0000901076382094e-20
Residual,1.183297364087301,979.0,,
