,Formant,T-statistic,P-value,Significant
0,F1,-10.529621591438465,2.551411966727204e-17,True
1,F2,-10.154661701123176,1.4421855698293855e-16,True
2,F3,-11.991713066993217,6.440514382010451e-21,True
