,sum_sq,df,F,PR(>F)
C(Group),2.333870048611092,1.0,1657.7874041076882,3.668279609666576e-213
C(NoiseLevel),0.016511565476190166,6.0,1.954740745228235,0.06943320584398911
C(Category),1.5865373204365139,11.0,102.44948328836662,1.3885703578845947e-154
C(Group):C(NoiseLevel),0.01849540277777783,6.0,2.189599614964663,0.04182800687479744
Residual,1.3838893045634908,983.0,,
