,sum_sq,df,F,PR(>F)
C(Category),1.1245611150793648,11.0,164.400248823667,1.5867765602953585e-213
C(Group),1.2503888928571396,1.0,2010.7459398265898,1.795104142033586e-239
C(NoiseLevel),0.010778857142857454,6.0,2.888906984563205,0.008519012809501512
C(Category):C(Group),0.6103159880952382,11.0,89.22245217134171,2.945655040824837e-139
Residual,0.6081724761904758,978.0,,
