,sum_sq,df,F,PR(>F)
C(Group),0.2392534404761899,1.0,737.5963959334956,6.661707862789614e-39
C(NoiseLevel),0.004222976190476178,6.0,2.1698413280972773,0.05614060730622363
C(Group):C(NoiseLevel),0.004139309523809513,6.0,2.126851885834521,0.06087215984320475
Residual,0.022705833333333328,70.0,,
