,sum_sq,df,F,PR(>F)
Group,1.250388892857145,1.0,1045.7515457190198,3.706005250421138e-157
C(Category),1.124561115079365,11.0,85.50151012055125,2.8020881089721534e-135
C(CF_Num),0.0455396865079356,5.0,7.617341745321168,4.913586131189601e-07
Residual,1.183727634920635,990.0,,
