,sum_sq,df,F,PR(>F)
C(Category),1.586537320436505,11.0,184.44897940294035,1.2584579720027307e-229
C(Group),2.3338700486111073,1.0,2984.663123132007,2.1283470859282703e-299
C(NoiseLevel),0.016511565476190586,6.0,3.5192948161569064,0.0018856467211438434
C(Category):C(Group),0.6376334394841275,11.0,74.13052036725837,1.2072241548719303e-120
Residual,0.7647512678571431,978.0,,
