,Group,Formant,GW_Distance,GW_Distance,GW_Distance
,,,mean,std,count
0,ANSD,F1,0.1020515873015873,0.06324025095943125,504
1,ANSD,F2,0.0947202380952381,0.057961932279569243,504
2,ANSD,F3,0.13145634920634922,0.07118127168527326,504
3,Healthy,F1,0.03161111111111111,0.026081603770171224,504
4,Healthy,F2,0.02624801587301587,0.02217757711006566,504
5,Healthy,F3,0.035220238095238096,0.03013708090162732,504
