,sum_sq,df,F,PR(>F)
C(Category),0.7541763412698436,11.0,56.745900542216006,9.507348093986676e-96
C(NoiseLevel),0.00604924603174605,6.0,0.8344575938397543,0.5432973708501896
C(Group),1.181488194444444,1.0,977.8757128199825,5.841938503647512e-147
C(Category):C(NoiseLevel),0.061857658730159325,66.0,0.7757179053035347,0.9041322207379179
Residual,1.1151863055555558,923.0,,
