,sum_sq,df,F,PR(>F)
C(Group),0.223716964285714,1.0,416.54789401119774,3.4641595876875162e-31
C(NoiseLevel),0.006277404761904768,6.0,1.9480267114714824,0.08500692289791552
C(Group):C(NoiseLevel),0.002268785714285721,6.0,0.7040577024528883,0.6472929305350235
Residual,0.037595166666666666,70.0,,
