,sum_sq,df,F,PR(>F)
C(Group),0.0037333333333333307,1.0,9.35817706530431,0.0031448250312143848
C(NoiseLevel),0.0020564761904761897,6.0,0.8591459071901194,0.5292954454769989
C(Group):C(NoiseLevel),0.002426333333333329,6.0,1.0136632568206847,0.4236309131500924
Residual,0.02792566666666667,70.0,,
