,sum_sq,df,F,PR(>F)
C(Group),0.1394057619047617,1.0,247.5432721984049,1.1105944967446287e-24
C(NoiseLevel),0.0067214761904761935,6.0,1.9892245813709002,0.07874484469385397
C(Group):C(NoiseLevel),0.0033649047619047647,6.0,0.9958454179808288,0.43506728736711686
Residual,0.039421,70.0,,
