,sum_sq,df,F,PR(>F)
C(Group),0.0060520119047618925,1.0,26.840740858069026,2.033891960784453e-06
C(NoiseLevel),0.002227809523809526,6.0,1.6467267153109981,0.14729289439312154
C(Group):C(NoiseLevel),0.004300238095238096,6.0,3.1786007187534104,0.008131247372865686
Residual,0.0157835,70.0,,
