,sum_sq,df,F,PR(>F)
C(Group),0.044574107142857214,1.0,76.44801479866236,7.818896861253666e-13
C(NoiseLevel),0.042984833333333416,6.0,12.287048039844251,2.1458247084876678e-09
C(Group):C(NoiseLevel),0.02869697619047621,6.0,8.202919441756135,9.903993838926044e-07
Residual,0.040814500000000004,70.0,,
