,sum_sq,df,F,PR(>F)
C(Group),2.3338700486109496,1.0,3790.0966042934856,1.3567659699e-313
C(NoiseLevel),0.01651156547619093,6.0,4.469002625069521,0.00018291825642803184
C(Category),1.5865373204365125,11.0,234.2239045614444,4.401671957554646e-247
C(Group):C(NoiseLevel),0.018495402777777743,6.0,5.005945904087276,4.721041680530752e-05
C(Group):C(Category),0.6376334394841267,11.0,94.13519111786444,2.696553194239161e-138
C(NoiseLevel):C(Category),0.11720767261904787,66.0,2.883936647415228,3.200620517505583e-12
C(Group):C(NoiseLevel):C(Category),0.11179202579365044,66.0,2.7506827229901187,3.473689835839088e-11
Residual,0.5172561666666664,840.0,,
