,sum_sq,df,F,PR(>F)
C(Group),0.019170964285714243,1.0,118.24023084717359,1.0934700349835017e-16
C(NoiseLevel),0.00032528571428571583,6.0,0.33437596369884287,0.916554350518609
C(Group):C(NoiseLevel),0.0005869523809523795,6.0,0.603355018086943,0.7267195447612637
Residual,0.011349500000000002,70.0,,
