,sum_sq,df,F,PR(>F)
C(Formant),0.28058667129630727,2.0,99.96406502742099,9.649258279201739e-43
C(Group),4.644776860119037,1.0,3309.5711491760394,0.0
C(NoiseLevel),0.027578330687828258,6.0,3.275092659116943,0.0032629547885204523
C(Category),3.050002662367714,11.0,197.56699779082803,0.0
C(Formant):C(Group),0.12097027579365116,2.0,43.09784374273214,3.5417570783828637e-19
C(Formant):C(NoiseLevel),0.005761337962962668,12.0,0.3420967694306209,0.9813837027410001
C(Group):C(NoiseLevel),0.041909980158731014,6.0,4.9770622419208355,4.4173606361080276e-05
C(Formant):C(Group):C(NoiseLevel),0.0016659186507936754,12.0,0.09891893033084122,0.9999630972670781
Residual,4.169613351521164,2971.0,,
