,group1,group2,meandiff,p-adj,lower,upper,reject
0,F1,F2,-0.0063,0.0625,-0.0129,0.0003,False
1,F1,F3,0.0165,0.0,0.0099,0.0231,True
2,F2,F3,0.0229,0.0,0.0163,0.0295,True
