,sum_sq,df,F,PR(>F)
C(Group),0.9499820119047608,1.0,738.3020304615484,6.460895570452427e-39
C(NoiseLevel),0.002084952380952374,6.0,0.2700620567868009,0.9491272698213834
C(Group):C(NoiseLevel),0.0015659047619047532,6.0,0.2028302730535616,0.9748304789405802
Residual,0.09006983333333334,70.0,,
