,sum_sq,df,F,PR(>F)
C(Group),1.181488194444431,1.0,3018.9238503430392,2.3677036596895436e-280
C(NoiseLevel),0.006049246031745976,6.0,2.5761596275644996,0.017682912048572766
C(Category),0.7541763412698416,11.0,175.18745001045767,8.767018424425269e-209
C(Group):C(NoiseLevel),0.009298416666667624,6.0,3.9598663190804575,0.0006492957953261041
C(Group):C(Category),0.7145308769841233,11.0,165.9782141691405,5.168772602338076e-202
C(NoiseLevel):C(Category),0.061857658730158895,66.0,2.394816902350148,1.6435186735023346e-08
C(Group):C(NoiseLevel):C(Category),0.06261401190476193,66.0,2.4240990867048304,1.0037330763890403e-08
Residual,0.3287430000000001,840.0,,
