,sum_sq,df,F,PR(>F)
C(Group),1.2503888928571576,1.0,2850.260432779231,3.380326523891499e-272
C(NoiseLevel),0.010778857142856143,6.0,4.095065969790827,0.00046471285830731345
C(Category),1.1245611150793682,11.0,233.03964716773928,2.177770289652132e-246
C(Group):C(NoiseLevel),0.01578207936507995,6.0,5.995872779825326,3.7531593392747575e-06
C(Group):C(Category),0.6103159880952361,11.0,126.47407119043591,9.729203368408406e-170
C(NoiseLevel):C(Category),0.12507752380952394,66.0,4.3199107673113275,6.055991910903101e-24
C(Group):C(NoiseLevel):C(Category),0.09881087301587281,66.0,3.4127166997544824,1.8818018020484213e-16
Residual,0.3685020000000001,840.0,,
