,group1,group2,meandiff,p-adj,lower,upper,reject
0,Affricate,Epenthetic,0.0489,0.0,0.0179,0.0799,True
1,Affricate,Flap,0.0269,0.1643,-0.0041,0.0579,False
2,Affricate,Fricative,-0.0094,0.9979,-0.0404,0.0217,False
3,Affricate,Glide,-0.0399,0.0016,-0.0709,-0.0089,True
4,Affricate,Glottal Stop,-0.0431,0.0004,-0.0741,-0.0121,True
5,Affricate,Liquid,-0.0456,0.0001,-0.0767,-0.0146,True
6,Affricate,Nasal,0.0343,0.0162,0.0033,0.0653,True
7,Affricate,Silence,-0.0248,0.2687,-0.0559,0.0062,False
8,Affricate,Stop,0.0775,0.0,0.0465,0.1085,True
9,Affricate,Syllabic Consonant,-0.0086,0.999,-0.0397,0.0224,False
10,Affricate,Vowel,-0.0486,0.0,-0.0796,-0.0176,True
11,Epenthetic,Flap,-0.022,0.4627,-0.053,0.0091,False
12,Epenthetic,Fricative,-0.0583,0.0,-0.0893,-0.0272,True
13,Epenthetic,Glide,-0.0888,0.0,-0.1198,-0.0578,True
14,Epenthetic,Glottal Stop,-0.092,0.0,-0.123,-0.061,True
15,Epenthetic,Liquid,-0.0945,0.0,-0.1256,-0.0635,True
16,Epenthetic,Nasal,-0.0146,0.9284,-0.0456,0.0164,False
17,Epenthetic,Silence,-0.0737,0.0,-0.1048,-0.0427,True
18,Epenthetic,Stop,0.0286,0.1038,-0.0024,0.0596,False
19,Epenthetic,Syllabic Consonant,-0.0575,0.0,-0.0886,-0.0265,True
20,Epenthetic,Vowel,-0.0975,0.0,-0.1285,-0.0665,True
21,Flap,Fricative,-0.0363,0.0075,-0.0673,-0.0053,True
22,Flap,Glide,-0.0668,0.0,-0.0978,-0.0358,True
23,Flap,Glottal Stop,-0.07,0.0,-0.1011,-0.039,True
24,Flap,Liquid,-0.0725,0.0,-0.1036,-0.0415,True
25,Flap,Nasal,0.0074,0.9998,-0.0237,0.0384,False
26,Flap,Silence,-0.0517,0.0,-0.0828,-0.0207,True
27,Flap,Stop,0.0506,0.0,0.0196,0.0816,True
28,Flap,Syllabic Consonant,-0.0356,0.01,-0.0666,-0.0045,True
29,Flap,Vowel,-0.0755,0.0,-0.1066,-0.0445,True
30,Fricative,Glide,-0.0305,0.0585,-0.0616,0.0005,False
31,Fricative,Glottal Stop,-0.0337,0.0197,-0.0648,-0.0027,True
32,Fricative,Liquid,-0.0363,0.0076,-0.0673,-0.0052,True
33,Fricative,Nasal,0.0437,0.0003,0.0126,0.0747,True
34,Fricative,Silence,-0.0155,0.8968,-0.0465,0.0156,False
35,Fricative,Stop,0.0869,0.0,0.0559,0.1179,True
36,Fricative,Syllabic Consonant,0.0007,1.0,-0.0303,0.0318,False
37,Fricative,Vowel,-0.0392,0.0022,-0.0703,-0.0082,True
38,Glide,Glottal Stop,-0.0032,1.0,-0.0342,0.0278,False
39,Glide,Liquid,-0.0057,1.0,-0.0368,0.0253,False
40,Glide,Nasal,0.0742,0.0,0.0432,0.1052,True
41,Glide,Silence,0.0151,0.9122,-0.016,0.0461,False
42,Glide,Stop,0.1174,0.0,0.0864,0.1484,True
43,Glide,Syllabic Consonant,0.0313,0.0463,0.0002,0.0623,True
44,Glide,Vowel,-0.0087,0.9989,-0.0397,0.0223,False
45,Glottal Stop,Liquid,-0.0025,1.0,-0.0335,0.0285,False
46,Glottal Stop,Nasal,0.0774,0.0,0.0464,0.1084,True
47,Glottal Stop,Silence,0.0183,0.7398,-0.0127,0.0493,False
48,Glottal Stop,Stop,0.1206,0.0,0.0896,0.1517,True
49,Glottal Stop,Syllabic Consonant,0.0345,0.0151,0.0034,0.0655,True
50,Glottal Stop,Vowel,-0.0055,1.0,-0.0365,0.0255,False
51,Liquid,Nasal,0.0799,0.0,0.0489,0.1109,True
52,Liquid,Silence,0.0208,0.5531,-0.0102,0.0518,False
53,Liquid,Stop,0.1231,0.0,0.0921,0.1542,True
54,Liquid,Syllabic Consonant,0.037,0.0057,0.006,0.068,True
55,Liquid,Vowel,-0.003,1.0,-0.034,0.028,False
56,Nasal,Silence,-0.0591,0.0,-0.0901,-0.0281,True
57,Nasal,Stop,0.0432,0.0004,0.0122,0.0743,True
58,Nasal,Syllabic Consonant,-0.0429,0.0004,-0.074,-0.0119,True
59,Nasal,Vowel,-0.0829,0.0,-0.1139,-0.0519,True
60,Silence,Stop,0.1023,0.0,0.0713,0.1334,True
61,Silence,Syllabic Consonant,0.0162,0.8639,-0.0148,0.0472,False
62,Silence,Vowel,-0.0238,0.3339,-0.0548,0.0072,False
63,Stop,Syllabic Consonant,-0.0862,0.0,-0.1172,-0.0551,True
64,Stop,Vowel,-0.1261,0.0,-0.1572,-0.0951,True
65,Syllabic Consonant,Vowel,-0.04,0.0016,-0.071,-0.0089,True
