,sum_sq,df,F,PR(>F)
C(Category),0.7541763412698423,11.0,57.6081363875516,1.7678120043609254e-98
C(Group),1.1814881944444402,1.0,992.7342221364243,1.9476647145113666e-151
C(NoiseLevel),0.006049246031745783,6.0,0.8471369106176038,0.5335884437746877
Residual,1.1770439642857138,989.0,,
