,sum_sq,df,F,PR(>F)
C(Group),0.47325029761904686,1.0,613.8951346142552,2.2615226287707767e-36
C(NoiseLevel),0.02450297619047616,6.0,5.29749899879649,0.00014961944770736977
C(Group):C(NoiseLevel),0.0154107857142857,6.0,3.3317839130018476,0.0060546646648082
Residual,0.05396283333333333,70.0,,
