,sum_sq,df,F,PR(>F)
C(Group),0.27166344047619034,1.0,191.2644979708288,1.0568161151365583e-21
C(NoiseLevel),0.05055778571428576,6.0,5.932530269935921,4.755044286809082e-05
C(Group):C(NoiseLevel),0.05739864285714295,6.0,6.735247230319732,1.161640928711353e-05
Residual,0.09942483333333332,70.0,,
